name,location,peak_power(W),wavelength(µm),references
MAX-BORN-INSTITUT für Nichtlineare Optik und Kurzzeitspektroskopie,"Berlin, Germany",1e14,0.8,Liquid-cooled-TiSapphire-thin-disk-amplifiers-for-high-average-power-100-TW-systems.pdf
"10/100 Hz Laser, 10 Hz Line","Varennes, Canada",1e13,0.8,Experimental prospects at the Canadian advanced laser light source facility | Laser and Particle Beams | Cambridge Core
PALS (Prague Asterix Laser System),"Prague, Czechia",5e13,1.315,https://doi.org/10.1117/12.899051
CLAPA (Compact Laser Particle Accelerator),"Beijing, China",2e14,0.8,"Targets for high repetition rate laser facilities: needs, challenges and perspectives | High Power Laser Science and Engineering | Cambridge Core"
BELLA,"Berkeley, USA",1.3e15,0.8,Petawatt Laser Guiding and Electron Beam Acceleration to 8 GeV in a Laser-Heated Capillary Discharge Waveguide | Phys. Rev. Lett.
PHELIX,"Darmstadt, Germany",5e14,1.054,Petawatt and exawatt class lasers worldwide | High Power Laser Science and Engineering | Cambridge Core
High-Power Laser System (HPLS),"Magurele, Romania",2.04e16,0.82,Petawatt and exawatt class lasers worldwide | High Power Laser Science and Engineering | Cambridge Core
J-KAREN-P,"Kizugawa, Japan",1e15,0.82,Petawatt and exawatt class lasers worldwide | High Power Laser Science and Engineering | Cambridge Core
ARC (NIF),"Livermore, USA",1.2e14,1.053,Petawatt and exawatt class lasers worldwide | High Power Laser Science and Engineering | Cambridge Core
ARC (NIF),"Livermore, USA",5e14,1.053,Petawatt and exawatt class lasers worldwide | High Power Laser Science and Engineering | Cambridge Core
TEWALAS,"Bucharest, Romania",1.5e13,0.81,https://cetal.inflpr.ro/newsite/tewalas_system
Trident,"Los Alamos, USA",2e14,1.054,https://laro.lanl.gov/esploro/outputs/9916370215603761
*ISKRA-5,"Sarov, Russia",1e14,1.053,High power laser system ISKRA V | Laser and Particle Beams | Cambridge Core
Laboratory for Intense Lasers (L2I),"Lisbon, Portugal",1.5e13,1.053,https://www.cambridge.org/core/journals/high-power-laser-science-and-engineering/article/ultrashort-pulse-capability-at-the-l2i-high-intensity-laser-facility/AC8B841C57282134E8AA71784DD95505
Pulsar,"Warsaw, Poland",1e13,0.81,https://www.semanticscholar.org/reader/4708d73610d6d675d779aa5d09a7e99ede7487bd
ZEUS,"Ann Arbor, USA",3e15,0.8,https://pubs.aip.org/aip/pop/article/32/10/103107/3369107
JETI200,"Jena, Germany",2e14,0.8,https://info.fusion.ciemat.es/OCS/EPS2017ABS/pdf/P1.213.pdf
POLARIS,"Jena, Germany",2e14,1.03,https://www.researching.cn/articles/OJdb045c3bd0e7a6c3?alichlgref=https%3A%2F%2Fwww.google.com%2F
Center for Relativistic Laser Science (CoReLS),"Gwangju, South Korea",4.2e15,0.81,https://opg.optica.org/ol/fulltext.cfm?uri=ol-42-11-2058
ANGUS,"Hamburg, Germany",2e14,0.8,https://opg.optica.org/abstract.cfm?uri=CLEO_SI-2017-JTu3L.4
Laboratorio di Laser Intensi (ILIL),"Pisa, Italy",2.4e14,0.8,https://ilil.ino.cnr.it/download/single-shot-spectrometer-with-pointing-angle-correction-for-laser-driven-electron-beams-featuring-pointing-instability-and-transverse-inhomogeneity/
Titan,"Livermore, USA",1e15,1.05,https://ntrl.ntis.gov/NTRL/dashboard/searchResults/titleDetail/DE2006891736.xhtml?utm_source=chatgpt.com
Salle Violette,"Palaiseau, France",2e14,0.79,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.134.045001
HF-2PW Arm,"Szeged, Hungary",2e15,0.8,https://ieeexplore.ieee.org/abstract/document/10231672
FLAME,"Frascati, Italy",2e14,0.8,https://www.mdpi.com/2076-3417/14/19/8619
Colorado State University Advanced Beam Laboratory,"Fort Collins, USA",8.5e14,0.4,https://lasers.colostate.edu/aleph/
Laboratory for Intense Lasers (L2I),"Lisbon, Portugal",1.625e9,3,https://www.mdpi.com/2304-6732/11/12/1157
Xtreme Light III (XL-III),"Beijing, China",1.16e15,0.8,https://doi.org/10.1364/OL.36.003194
Shanghai Institute of Optics and Fine Mechanics 5 PW,"Shanghai, China",1.76e15,0.808,https://doi.org/10.1017/hpl.2018.23
Astra Gemini,"Didcot, United Kingdom",5e14,0.8,https://www.osti.gov/etdeweb/biblio/21507140
Vulcan,"Didcot, United Kingdom",1.03e15,1.053,https://www.osti.gov/etdeweb/biblio/20858586
PEARL,"Nizhny Novgorod, Russia",5.6e14,0.91,https://www.scilit.com/publications/055acccbbf98682b52b4b4e80692c039
PETAL,"Le Barp, France",1.15e15,1.053,https://cea.hal.science/cea-01622289
Chinese Academy of Engineering Physics PW Laser,"Mianyang, China",4.9e15,0.8,https://doi.org/10.1364/OL.42.002014
FACET Laser,"Portola Valley, USA",1e13,0.8,https://www.slac.stanford.edu/pubs/slacpubs/15750/slac-pub-15904.pdf
MEC Instrument (LCLS),"Portola Valley, USA",2.5e13,0.8,https://inspirehep.net/files/58d1c60edec555a6a0b10ef6f245de35
Hercules,"Ann Arbor, USA",3e14,0.8,https://doi.org/10.1364/OE.16.002109
Texas Petawatt Laser,"Austin, USA",1.1e15,1.057,https://doi.org/10.1364/AO.49.001676
BESTIA,"Upton, USA",1e14,10,https://doi.org/10.1063/1.4975920
